"dc30","ｻﾝﾀﾞｰﾊｳﾝﾄﾞＡ<RET_IL>"
"dc70","ギュリゲス<RET_IL>"
"dcb0","ｻﾝﾀﾞｰﾊｳﾝﾄﾞＢ<RET_IL>"
"dcc1","<X08><X02>は逃げ出した。<RET_IL>"
"dcd2","<X0a>"
"dcd3","<X02>は タテとなって
<CH5>を守った !!<X0a>"
"de25","<X1e>ギュリゲス<X04>
グオオオォォォ !!
お、おのれ !! し、しかし これで
終わったと 思うなよ !!

今に アグニージャさまの恐ろしさを
思い知る時が来るだろう ･ ･ ･

<RET_IL>"
"df25","<X1e>ギュリゲス<X04>
逃すものか !!
身のほどを知らず このわしに 戦いを挑んだ報いを受けるがよい。

<RET_IL>"
"df7e","ギュリゲスとの対決だ !!<RETN>"
"df96","<X02>の体から稲妻が
ほとばしる !!<X0a>"
"dfc5","はサンダーハウンドを
呼んだ !!<X0a>"
"dfe4","<X02>が現れた。<X0a>"
"dff0","は噛みついた !!<X0a>"
